tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
61,4.006270344543329e-02,1.099146267856312e-01,1313,3602,4.006958007812500e-02,1.099243164062500e-01,1.169996862603427e-01,6.876632691707463e-06,9.689620618799633e-06
62,-1.559491180659534e-01,-1.333694900649549e-02,-5110,-437,-1.559448242187500e-01,-1.333618164062500e-02,1.565140311325748e-01,4.293847203351575e-06,7.673658704854258e-07
63,9.383493778437679e-02,-1.523461706046234e-01,3075,-4992,9.384155273437500e-02,-1.523437500000000e-01,1.789269548828823e-01,6.614949998207109e-06,2.420604623354361e-06
64,9.428947391750647e-02,1.559396562378243e-01,3090,5110,9.429931640625000e-02,1.559448242187500e-01,1.822392638135451e-01,9.842488743527777e-06,5.167980925729898e-06
65,-1.663179751134589e-01,1.214641845566762e-02,-5450,398,-1.663208007812500e-01,1.214599609375000e-02,1.667637070636943e-01,-2.825667791112041e-06,-4.223619176207949e-07
66,4.992082092038100e-02,-1.253824679022058e-01,1636,-4109,4.992675781250000e-02,-1.253967285156250e-01,1.349704436833835e-01,5.936892119001724e-06,-1.426061341924800e-05
67,6.547591052024682e-02,6.361727176478181e-02,2146,2085,6.549072265625000e-02,6.362915039062500e-02,9.131102635208209e-02,1.481213600318387e-05,1.187862584318966e-05
68,-3.430984934965049e-02,2.789854110515866e-02,-1124,914,-3.430175781250000e-02,2.789306640625000e-02,4.421124000263821e-02,8.091537150485550e-06,-5.474698908661951e-06
69,-3.501281936617199e-02,4.369429921706762e-03,-1147,143,-3.500366210937500e-02,4.364013671875000e-03,3.527465062046125e-02,9.157256796989144e-06,-5.416249831762324e-06
70,-1.450087151101150e-02,-7.619913923662901e-02,-475,-2497,-1.449584960937500e-02,-7.620239257812500e-02,7.756890027922464e-02,5.021901636502457e-06,-3.253341495992879e-06
71,1.163960842969466e-01,2.031262162226297e-02,3814,666,1.163940429687500e-01,2.032470703125000e-02,1.181552663003955e-01,-2.041328196644709e-06,1.208540898702676e-05
72,-8.452397297318430e-02,1.205813873651165e-01,-2770,3951,-8.453369140625000e-02,1.205749511718750e-01,1.472557769083004e-01,-9.718433065700194e-06,-6.436193241490806e-06
73,-7.727715922416017e-02,-1.418622960075646e-01,-2532,-4649,-7.727050781250000e-02,-1.418762207031250e-01,1.615536857475046e-01,6.651411660174578e-06,-1.392469556038556e-05
74,1.598429599472724e-01,-5.561961286906378e-03,5238,-182,1.598510742187500e-01,-5.554199218750000e-03,1.599475384551131e-01,8.114271477566160e-06,7.762068156377810e-06
75,-5.832976623499794e-02,1.308055036698344e-01,-1911,4286,-5.831909179687500e-02,1.307983398437500e-01,1.432107613759994e-01,1.067443812294289e-05,-7.163826084372049e-06
76,-7.576010164546493e-02,-8.508602988557469e-02,-2483,-2788,-7.577514648437500e-02,-8.508300781250000e-02,1.139341522246531e-01,-1.504483891007213e-05,3.022073074690490e-06
77,7.073598182713571e-02,-2.929231541115394e-02,2318,-960,7.073974609375000e-02,-2.929687500000000e-02,7.656643234586448e-02,3.764266614289524e-06,-4.559588846056450e-06
78,1.634153454106830e-02,3.755553236909335e-02,535,1231,1.632690429687500e-02,3.756713867187500e-02,4.096166148865548e-02,-1.463024419329911e-05,1.160630278165126e-05
