freq_hz,h1_abs_db,h1_phase_rad,fir_abs_db,fir_phase_rad,total_abs_db,total_phase_rad,target_phase_rad,phase_error_rad,total_group_delay_ns
4364000000.000000,-1.494234600000e-01,2.381214597978e+00,1.469042940684e-01,1.594844935808e+00,-2.519165931613e-03,-5.885579353801e+01,-5.885773836500e+01,1.944826995199e-03,1.056928033800e+01
4365000000.000000,-1.454217290000e-01,2.366733956944e+00,1.464239111297e-01,1.537504345038e+00,1.002182129659e-03,-5.892761476981e+01,-5.892449720889e+01,-3.117560919996e-03,1.093783843238e+01
4366000000.000000,-1.519702190000e-01,2.358429138736e+00,1.459748834809e-01,1.480181463589e+00,-5.995335519132e-03,-5.899324246947e+01,-5.899125605278e+01,-1.986416688553e-03,1.063701586657e+01
4367000000.000000,-1.497552140000e-01,2.347693525969e+00,1.455547505601e-01,1.422876092403e+00,-4.200463439920e-03,-5.906128345342e+01,-5.905801489667e+01,-3.268556752531e-03,1.064199594218e+01
4368000000.000000,-1.501481250000e-01,2.339291349059e+00,1.451609498658e-01,1.365587988180e+00,-4.987175134239e-03,-5.912697373456e+01,-5.912477374056e+01,-2.199993996946e-03,1.027106893548e+01
4369000000.000000,-1.628991740000e-01,2.333182695461e+00,1.447908383533e-01,1.308316864062e+00,-1.810833564666e-02,-5.919035351227e+01,-5.919153258445e+01,1.179072176129e-03,1.016611364380e+01
4370000000.000000,-1.462676120000e-01,2.326065794946e+00,1.444417147939e-01,1.251062390537e+00,-1.825897206123e-03,-5.925472488631e+01,-5.925829142834e+01,3.566542024906e-03,1.085935637840e+01
4371000000.000000,-1.472966270000e-01,2.311212666096e+00,1.441108429400e-01,1.193824196543e+00,-3.185784059985e-03,-5.932681620916e+01,-5.932505027223e+01,-1.765936930695e-03,1.086870355409e+01
4372000000.000000,-1.511405180000e-01,2.303946157754e+00,1.437954753344e-01,1.136601870771e+00,-7.345042665641e-03,-5.939130504327e+01,-5.939180911611e+01,5.040728442154e-04,1.052367483635e+01
4373000000.000000,-1.348364060000e-01,2.293397501261e+00,1.434928776053e-01,1.079394963159e+00,8.656471605345e-03,-5.945906060738e+01,-5.945856796000e+01,-4.926473718001e-04,1.091073456371e+01
4374000000.000000,-1.298888490000e-01,2.281236707762e+00,1.432003530566e-01,1.022202986560e+00,1.331150405660e-02,-5.952841337747e+01,-5.952532680389e+01,-3.086573580696e-03,1.070513640819e+01
4375000000.000000,-1.431199000000e-01,2.273242334256e+00,1.429152673765e-01,9.650254185816e-01,-2.046326234706e-04,-5.959358531896e+01,-5.959208564778e+01,-1.499671176788e-03,1.036029775337e+01
4376000000.000000,-1.357227190000e-01,2.265386649501e+00,1.426350732717e-01,9.078617035776e-01,6.912354271661e-03,-5.965860471872e+01,-5.965884449167e+01,2.397729529591e-04,1.026806571745e+01
4377000000.000000,-1.205562040000e-01,2.258524178748e+00,1.423573348277e-01,8.507112547915e-01,2.180113082765e-02,-5.972261763826e+01,-5.972560333556e+01,2.985697302613e-03,1.042666511352e+01
4378000000.000000,-1.428697320000e-01,2.248649558362e+00,1.420797514037e-01,7.935734566283e-01,-7.899805962696e-04,-5.978963005681e+01,-5.979236217945e+01,2.732122642200e-03,1.108674009191e+01
4379000000.000000,-1.401676290000e-01,2.233467681591e+00,1.418001808525e-01,7.364476670485e-01,1.632551852473e-03,-5.986193772316e+01,-5.985912102334e+01,-2.816699819782e-03,1.071226015761e+01
4380000000.000000,-1.565211860000e-01,2.228275563660e+00,1.415166618686e-01,6.793332200723e-01,-1.500452413144e-02,-5.992424428806e+01,-5.992587986723e+01,1.635579161778e-03,1.106001885417e+01
4381000000.000000,-1.213290920000e-01,2.208701624337e+00,1.412274352620e-01,6.222294283792e-01,1.989834326199e-02,-6.000092201908e+01,-5.999263871111e+01,-8.283307965492e-03,1.094406679625e+01
4382000000.000000,-1.240857060000e-01,2.204945998350e+00,1.409309639611e-01,5.651355859923e-01,1.684525796115e-02,-6.006177148745e+01,-6.005939755500e+01,-2.373932450631e-03,9.910396712644e+00
4383000000.000000,-1.258713220000e-01,2.198342363656e+00,1.406259515439e-01,5.080509710338e-01,1.475462954393e-02,-6.012545973711e+01,-6.012615639889e+01,6.966617856463e-04,1.043437051642e+01
4384000000.000000,-1.106725170000e-01,2.187984568764e+00,1.403113591229e-01,4.509748485414e-01,2.963884212293e-02,-6.019289365449e+01,-6.019291524278e+01,2.158829000365e-05,1.059930158446e+01
4385000000.000000,-1.353302120000e-01,2.179292109395e+00,1.399864203824e-01,3.939064733311e-01,4.656208382356e-03,-6.025865448907e+01,-6.025967408667e+01,1.019597599552e-03,1.057667956786e+01
4386000000.000000,-1.324776180000e-01,2.169203849089e+00,1.396506546168e-01,3.368450928974e-01,7.173036616841e-03,-6.032580412981e+01,-6.032643293056e+01,6.288007486219e-04,1.052449027372e+01
4387000000.000000,-1.478375450000e-01,2.161153987082e+00,1.393038775954e-01,2.797899503373e-01,-8.533667404611e-03,-6.039090913438e+01,-6.039319177445e+01,2.282640070270e-03,1.027856644433e+01
4388000000.000000,-1.321754290000e-01,2.154144379375e+00,1.389462101117e-01,2.227402872876e-01,6.770781111744e-03,-6.045496840513e+01,-6.045995061834e+01,4.982213202410e-03,1.055849432709e+01
