tap,coeff_real,coeff_imag,coeff_abs,coeff_phase_rad
136,-1.579940559277791e-02,-5.427106626621898e-02,5.652406435101278e-02,-1.854086771112791e+00
137,3.680642584767875e-02,-3.748605647478457e-03,3.699682456618381e-02,-1.014965340298770e-01
138,9.784979772838971e-03,2.408319680354153e-02,2.599511872319457e-02,1.184871563987307e+00
139,-2.770097161838586e-02,2.242358948289384e-02,3.563932089560583e-02,2.461093381255586e+00
140,-2.571945385206041e-02,-4.635431346328916e-02,5.301143917213657e-02,-2.077351609907069e+00
141,6.707357880972367e-02,-1.046124561502762e-02,6.788448006843793e-02,-1.547201943245727e-01
142,-1.946337960920896e-02,7.436160933995380e-02,7.686658630016084e-02,1.826793164817715e+00
143,-6.089528156090266e-02,-4.973386930482171e-02,7.862374369368771e-02,-2.456744586028065e+00
144,6.533294256352475e-02,-3.251652564919033e-02,7.297751588197064e-02,-4.618098439739148e-01
145,4.209129673216645e-03,6.064040529426321e-02,6.078631035733670e-02,1.501496173478999e+00
146,-4.302020950355569e-02,-1.009134777604761e-02,4.418793642689104e-02,-2.911186085933283e+00
147,6.853190882300899e-03,-2.752853858192609e-02,2.836876207602026e-02,-1.326807469965728e+00
148,2.642728147644978e-02,-4.898244609224674e-03,2.687738838665886e-02,-1.832682599255520e-01
149,1.004904180172777e-02,4.069400972798023e-02,4.191641288175577e-02,1.328698270707227e+00
150,-5.931553229368879e-02,-1.971658903420562e-03,5.934829239426417e-02,-3.108364709069626e+00
151,2.966915258430483e-02,-6.682436876524436e-02,7.311466936220205e-02,-1.152954032133080e+00
152,5.392293605220109e-02,6.019961404813597e-02,8.081878843458554e-02,8.403422615990740e-01
153,-7.782783262252503e-02,2.395072637019989e-02,8.142977848661974e-02,2.843050282264894e+00
154,9.198219355094243e-03,-7.436108778535537e-02,7.492782270909623e-02,-1.447724810653460e+00
155,5.446352226127502e-02,3.026969183987506e-02,6.230994704848816e-02,5.072693723686612e-01
156,-3.267940119431226e-02,3.226329929961302e-02,4.592236649079866e-02,2.362601618286482e+00
157,-2.160902875518285e-02,-2.254972042259579e-02,3.123203507425593e-02,-2.334895213616681e+00
158,1.403950043759109e-02,-2.666125632106301e-02,3.013187948261015e-02,-1.086105176938201e+00
159,3.925745903212369e-02,1.921185612494926e-02,4.370633255518724e-02,4.551164100333746e-01
160,-3.942537958567258e-02,4.483570410241118e-02,5.970427889048941e-02,2.292073458451620e+00
161,-3.282235895918587e-02,-6.418569523526657e-02,7.209098917673533e-02,-2.043495048793050e+00
162,7.826755095985619e-02,-4.308595746450292e-03,7.838605443929433e-02,-5.499407166132932e-02
163,-2.831356309730770e-02,7.221629783723599e-02,7.756836680362426e-02,1.944444489431361e+00
164,-4.897734406878395e-02,-4.956052318905669e-02,6.967801440056305e-02,-2.350276234320535e+00
165,5.129138031292701e-02,-2.203365524719545e-02,5.582371949232315e-02,-4.057419654511168e-01
166,6.263169139675973e-03,3.816513584549013e-02,3.867563679859589e-02,1.408139083464430e+00
167,-2.429573117906021e-02,7.781551272564280e-03,2.551146984657500e-02,2.831631464455530e+00
168,-1.979991802866711e-02,-2.333934403343869e-02,3.060656357471624e-02,-2.274331339907604e+00
169,3.882437083185850e-02,-2.743566907952001e-02,4.753995906950905e-02,-6.151824649940484e-01
170,1.823987710743702e-02,6.144899523116245e-02,6.409892457610994e-02,1.282250741544994e+00
171,-7.532170513260172e-02,-8.807636228760837e-03,7.583491095808567e-02,-3.025187710966900e+00
172,4.212216894065494e-02,-6.893558098833141e-02,8.078608446052993e-02,-1.022301114456841e+00
173,4.331042268261710e-02,6.510217061523094e-02,7.819261686221783e-02,9.837623170720481e-01
174,-6.734487225448976e-02,1.158745539601078e-02,6.833447842435095e-02,2.971199647873917e+00
175,9.781271567722297e-03,-5.174148283627479e-02,5.265789892863227e-02,-1.383959944216834e+00
176,3.244163390498086e-02,1.225079843674574e-02,3.467768263253148e-02,3.610707647881087e-01
177,-1.018505587231515e-03,2.495580628597957e-02,2.497658145172311e-02,1.611586059209560e+00
178,-3.518202006633658e-02,8.696886796822975e-03,3.624100406866321e-02,2.899253923871695e+00
179,-2.505881082980208e-03,-5.503150131997141e-02,5.508852491701020e-02,-1.616300287549571e+00
180,6.787035408095166e-02,2.264685477417351e-02,7.154903908674284e-02,3.220608650378827e-01
181,-5.572962861554613e-02,6.017927228106047e-02,8.202034087898387e-02,2.317824186364938e+00
182,-3.137887054579500e-02,-7.876673024049864e-02,8.478697606065005e-02,-1.949902968070328e+00
183,7.911932427459044e-02,5.154624511046514e-03,7.928705838608012e-02,6.505806388622787e-02
184,-3.085268652681217e-02,5.840489091952110e-02,6.605315699679233e-02,2.056791744992118e+00
185,-3.167794538647058e-02,-3.461196497831670e-02,4.691993545997729e-02,-2.311962933320783e+00
186,2.054975141499459e-02,-1.716663179588505e-02,2.677658548869821e-02,-6.959386375901079e-01
187,2.351949419195908e-02,5.252071382444718e-03,2.409877301548548e-02,2.197025870638760e-01
188,-6.144328126751475e-03,4.348319246510448e-02,4.391515450373035e-02,1.711170500275605e+00
189,-5.867407183443433e-02,-2.892819483338301e-02,6.541778933860824e-02,-2.683534968832709e+00
190,6.294292383285748e-02,-5.241998807838028e-02,8.191255587983094e-02,-6.944339566802448e-01
191,2.184557777488793e-02,8.799693968145396e-02,9.066802447180662e-02,1.327461786778738e+00
192,-8.822141972426278e-02,-1.938677430007316e-02,9.032644084611394e-02,-2.925279551194238e+00
193,4.994903848021424e-02,-6.336988358598768e-02,8.068859021447551e-02,-9.032833124102952e-01
194,2.946223799101119e-02,5.544536540895299e-02,6.278703698034574e-02,1.082365499638101e+00
195,-3.857722200523773e-02,7.944780134323129e-03,3.938681999126273e-02,2.938487483007263e+00
196,-1.066658886460824e-02,-1.749530765846020e-02,2.049053215684650e-02,-2.118305158781739e+00
197,1.309118946711292e-02,-3.122306860736123e-02,3.385645071362080e-02,-1.173781039708257e+00
198,4.907933112425843e-02,3.389290655815429e-02,5.964486447770991e-02,6.043716888204036e-01
199,-6.928195521023703e-02,4.401456506443959e-02,8.208088240001490e-02,2.575623544433025e+00
200,-1.094480410922875e-02,-9.622650461897603e-02,9.684693556419431e-02,-1.684049637461802e+00
201,9.526495736034397e-02,3.550166820297024e-02,1.016650409239181e-01,3.567196993113529e-01
202,-7.038637376275539e-02,6.464809652871643e-02,9.556996388121396e-02,2.398663845359601e+00
203,-2.239155445696840e-02,-7.569188231719376e-02,7.893442062699448e-02,-1.858418499419263e+00
204,5.332488739930753e-02,5.776995173466005e-03,5.363690230972587e-02,1.079149423864045e-01
205,-4.514184618235871e-03,2.433289647734609e-02,2.474808505207543e-02,1.754228679430995e+00
206,-1.427954427613105e-02,1.978967864465148e-02,2.440362197692305e-02,2.195849464969724e+00
207,-4.293246698759261e-02,-3.473249349551794e-02,5.522266587241986e-02,-2.461386150507983e+00
208,7.411036718625044e-02,-3.995661147250872e-02,8.419547092834556e-02,-4.944750043507781e-01
209,3.567740663297142e-03,1.049956902471656e-01,1.050562884549007e-01,1.536829518606642e+00
210,-1.033939286122806e-01,-4.944616864296907e-02,1.146090226262763e-01,-2.695511518309229e+00
211,8.908950161575580e-02,-6.647180647612401e-02,1.111550284707940e-01,-6.410157864758651e-01
212,1.571269882893817e-02,9.325889364618507e-02,9.457330568717250e-02,1.403879253264994e+00
213,-6.412012842789849e-02,-1.759118827157032e-02,6.648940347465926e-02,-2.873833293518639e+00
214,1.477436506064876e-02,-2.746734798359221e-02,3.118873303289292e-02,-1.077299456954616e+00
215,1.461455209307325e-02,-1.596358453927210e-02,2.164303962533080e-02,-8.294871230901423e-01
216,4.451173149825997e-02,3.926258072684941e-02,5.935355495929082e-02,7.228217329325151e-01
217,-8.624665028462666e-02,4.040643030684025e-02,9.524266006081640e-02,2.703462269208436e+00
218,4.112792489699535e-03,-1.212559550892113e-01,1.213256844475239e-01,-1.536891052714100e+00
219,1.155241282327907e-01,6.671941417926028e-02,1.334065381919865e-01,5.237385250346688e-01
220,-1.098179880508436e-01,6.787623967708180e-02,1.291014113487373e-01,2.587985412321385e+00
221,-7.340180178120215e-03,-1.078227012006261e-01,1.080722588791719e-01,-1.638767843227631e+00
222,6.707441334643911e-02,2.693794446981847e-02,7.228160054971108e-02,3.818959677323872e-01
223,-1.474590485578217e-02,2.276494647719727e-02,2.712350453251638e-02,2.145585437557235e+00
224,-1.362554226948922e-02,2.872663272957130e-02,3.179425781673972e-02,2.013687590406613e+00
225,-6.253286858220908e-02,-5.220974010804720e-02,8.146297696051663e-02,-2.445920622765615e+00
226,1.133659420771850e-01,-5.020606201832686e-02,1.239858277644496e-01,-4.169065129781078e-01
227,-1.129607208455054e-02,1.512235302800283e-01,1.516448395260913e-01,1.645355704564026e+00
228,-1.336877474188935e-01,-8.662607727093879e-02,1.593000033687649e-01,-2.566643569469799e+00
229,1.269183574388993e-01,-6.879578261834546e-02,1.443645703109279e-01,-4.967171753660618e-01
230,1.420333949236539e-03,1.073789460643989e-01,1.073883392479298e-01,1.557569794263452e+00
231,-4.880806968053740e-02,-1.966793980840810e-02,5.262181602954576e-02,-2.758532928535770e+00
232,-1.930970620136664e-02,-4.336921857931363e-03,1.979074644334822e-02,-2.920660850653700e+00
233,1.877972057406619e-02,-8.315211712542822e-02,8.524642213771166e-02,-1.348675107396047e+00
234,1.124751344320400e-01,9.100912731972584e-02,1.446835067345395e-01,6.802946752972862e-01
235,-1.706272197801789e-01,7.093768039841007e-02,1.847858290838896e-01,2.747585782470144e+00
236,2.189235013335297e-02,-1.954675476371077e-01,1.966896976804487e-01,-1.459261219530061e+00
237,1.431410025309883e-01,1.013064391007698e-01,1.753634545988827e-01,6.159009184986012e-01
238,-1.080319800141381e-01,5.453608147076325e-02,1.210169115783445e-01,2.674101076944551e+00
239,-5.426701721726983e-03,-4.023640205465968e-02,4.060070371164540e-02,-1.704857823065792e+00
240,-3.821762747646013e-02,-4.384229230282163e-02,5.816127271901409e-02,-2.287758145180502e+00
241,1.436718428939892e-01,-4.697513865598482e-02,1.511564159812745e-01,-3.160048424176251e-01
242,-3.946347769556696e-02,2.188267340891657e-01,2.223567080705211e-01,1.749219745723201e+00
243,-1.951889339332556e-01,-1.599538636125987e-01,2.523568077437155e-01,-2.455084677090381e+00
244,2.114548551145533e-01,-8.354258155677464e-02,2.273598880292807e-01,-3.762618954078006e-01
245,-1.615665019788642e-02,1.426620789500425e-01,1.435740440189835e-01,1.683567028681843e+00
246,-1.516768793584499e-02,1.635735456303419e-03,1.525563462469477e-02,3.034164412943134e+00
247,-1.399262571960473e-01,3.767161955455146e-02,1.449086207675625e-01,2.878603481405212e+00
248,6.098844658119480e-02,-2.730167993902630e-01,2.797458907038500e-01,-1.351017541014728e+00
249,2.560763337244105e-01,2.285268823880940e-01,3.432194992534041e-01,7.286097865787545e-01
250,-2.711368221995516e-01,9.400513342198935e-02,2.869706282220487e-01,2.807854144680131e+00
251,8.917873102050188e-03,-8.812339861846676e-02,8.857348274022794e-02,-1.469942110406316e+00
252,-1.526196919644738e-01,-1.554254173644075e-01,2.178298205899072e-01,-2.347086577966412e+00
253,4.692981849468585e-01,-1.367867740874672e-01,4.888265622484846e-01,-2.836137003098740e-01
254,-9.411874190636915e-02,4.084903766051070e-01,4.191929452615106e-01,1.797250533757640e+00
255,3.818425104038996e-01,3.804714984503398e-01,5.390382768269792e-01,7.835996781808139e-01
