subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_plan_b_equalized_i,after_plan_b_equalized_q,after_plan_b_fixed_equalized_i,after_plan_b_fixed_equalized_q,plan_b_abs,plan_b_phase_rad,plan_b_fixed_abs,plan_b_fixed_phase_rad
79,19467,3564514160.156250,1.952126652190e+02,-1.952126652190e+02,2.088638200050e+02,-1.926482469013e+02,1.961226587501e+02,-1.942197948854e+02,1.960995699488e+02,-1.942208198576e+02,9.807494086694e-01,-2.739971604754,9.806903783038e-01,-2.740006606936
80,19468,3564697265.625000,-3.904253304380e+01,1.171275991314e+02,-4.493399773021e+01,1.188223172178e+02,-3.952173976568e+01,1.169137795414e+02,-3.951235790652e+01,1.169094434263e+02,9.808411800508e-01,-2.750568247362,9.807813544188e-01,-2.750602499744
81,19469,3564880371.093750,1.171275991314e+02,-3.904253304380e+01,1.219612992219e+02,-3.540579569749e+01,1.171950659929e+02,-3.859833190969e+01,1.171859008121e+02,-3.860311254686e+01,9.809329775401e-01,-2.761165013613,9.808723594003e-01,-2.761198521937
82,19470,3565063476.562500,-2.732977313066e+02,-2.732977313066e+02,-2.699578755810e+02,-2.917831718017e+02,-2.722612766394e+02,-2.739767778505e+02,-2.722614011361e+02,-2.739444011161e+02,9.810247978514e-01,-2.771761898140,9.809633899687e-01,-2.771794668237
83,19471,3565246582.031250,1.171275991314e+02,-1.952126652190e+02,1.281902573875e+02,-1.959838190853e+02,1.176818906309e+02,-1.947821670899e+02,1.176634128068e+02,-1.947773708123e+02,9.811166376918e-01,-2.782358895644,9.810544428369e-01,-2.782390933434
84,19472,3565429687.500000,1.952126652190e+02,1.952126652190e+02,1.929053109355e+02,2.084921823908e+02,1.946140382393e+02,1.957785924139e+02,1.946135348438e+02,1.957554195296e+02,9.812084937625e-01,-2.792956000893,9.811455147105e-01,-2.792987312383
85,19473,3565612792.968750,-1.952126652190e+02,-3.904253304380e+01,-1.991786630833e+02,-4.794022177046e+01,-1.951385697468e+02,-3.961742772794e+01,-1.951288126279e+02,-3.960382836434e+01,9.813003627589e-01,-2.803553208722,9.812366022888e-01,-2.803583800007
86,19474,3565795898.437500,1.952126652190e+02,-2.732977313066e+02,2.116846580459e+02,-2.732938475007e+02,1.960801090314e+02,-2.728789428232e+02,1.960524607359e+02,-2.728729912844e+02,9.813922413722e-01,-2.814150514035,9.813277022660e-01,-2.814180391295
87,19475,3565979003.906250,-2.732977313066e+02,2.732977313066e+02,-2.920478721217e+02,2.702317836335e+02,-2.742596941666e+02,2.727576038297e+02,-2.742271481573e+02,2.727556720686e+02,9.814841262890e-01,-2.824747911808,9.814188113304e-01,-2.824777081305
88,19476,3566162109.375000,-3.904253304380e+01,1.171275991314e+02,-4.479095837064e+01,1.188971749268e+02,-3.934594292442e+01,1.170906301589e+02,-3.933697376328e+01,1.170853088918e+02,9.815760141924e-01,-2.835345397083,9.815099261667e-01,-2.835373865166
