freq_hz,h1_effective_abs_db,h1_effective_phase_rad,h1_effective_group_delay_ns,plan_c_effective_abs_db,plan_c_effective_phase_rad,plan_c_effective_group_delay_ns
4383361816.406250,-1.203690740054e-01,-1.037177587083e+01,1.648494256594e+00,1.318563025951e-01,-1.459606309009e+01,2.684774530454e+00
4383544921.875000,-1.175858632791e-01,-1.037367243972e+01,1.648494256594e+00,1.356108838774e-01,-1.459904341915e+01,2.551610059160e+00
4383728027.343750,-1.148035440884e-01,-1.037556900861e+01,1.648494256594e+00,1.363904749013e-01,-1.460193427130e+01,2.815034233954e+00
4383911132.812500,-1.120221158625e-01,-1.037746557749e+01,1.580288988040e+00,1.399463033874e-01,-1.460552073180e+01,2.717527412252e+00
4384094238.281250,-1.129932306304e-01,-1.037920520803e+01,1.447765797841e+00,1.386612975275e-01,-1.460818722356e+01,2.404538382399e+00
4384277343.750000,-1.175041628272e-01,-1.038079684487e+01,1.383447876199e+00,1.313225783510e-01,-1.461105350532e+01,2.199265327567e+00
4384460449.218750,-1.220174389499e-01,-1.038238848172e+01,1.383447876202e+00,1.235712378400e-01,-1.461324766970e+01,2.246610040462e+00
4384643554.687500,-1.265330614359e-01,-1.038398011857e+01,1.383447876202e+00,1.255720282002e-01,-1.461622289028e+01,2.648226610904e+00
4384826660.156250,-1.310510327259e-01,-1.038557175542e+01,1.389371839366e+00,1.208361954161e-01,-1.461934116282e+01,2.536637468663e+00
4385009765.625000,-1.353023501065e-01,-1.038717702313e+01,1.500446148714e+00,1.119619488309e-01,-1.462205962000e+01,2.437056081838e+00
4385192871.093750,-1.347799561505e-01,-1.038902423876e+01,1.605596494899e+00,1.134825478209e-01,-1.462494875863e+01,2.544005887732e+00
4385375976.562500,-1.342575936108e-01,-1.039087145440e+01,1.605596494899e+00,1.168726387718e-01,-1.462791330423e+01,2.654337727571e+00
4385559082.031250,-1.337352624837e-01,-1.039271867003e+01,1.605596494899e+00,1.157786328478e-01,-1.463105631325e+01,2.327518544371e+00
4385742187.500000,-1.332129627654e-01,-1.039456588566e+01,1.605596494899e+00,1.202650877900e-01,-1.463326885733e+01,2.670003908372e+00
4385925292.968750,-1.326906944522e-01,-1.039641310129e+01,1.509567829977e+00,1.163118696896e-01,-1.463719991530e+01,3.018636452229e+00
4386108398.437500,-1.341412981065e-01,-1.039803935773e+01,1.347357247338e+00,1.163549893826e-01,-1.464021465281e+01,2.508138673098e+00
4386291503.906250,-1.369522925198e-01,-1.039951333149e+01,1.281175329620e+00,1.127272743218e-01,-1.464297107010e+01,2.324398544213e+00
4386474609.375000,-1.397641969432e-01,-1.040098730525e+01,1.281175329623e+00,1.105766957156e-01,-1.464556302688e+01,2.406795713294e+00
4386657714.843750,-1.425770119662e-01,-1.040246127900e+01,1.281175329623e+00,1.051187215173e-01,-1.464850903768e+01,2.330364773455e+00
