freq_hz,after_h1_error_percent,after_float_plan_c_error_percent
3621643066.406250,5.492755350985e+00,1.434782241119e+00
3621826171.875000,5.460188382219e+00,1.373821654538e+00
3622009277.343750,5.432403087172e+00,1.435948494841e+00
3622192382.812500,5.473342547733e+00,1.409231112954e+00
3622375488.281250,5.514284027124e+00,1.413443631351e+00
3622558593.750000,5.555227497968e+00,1.540980115485e+00
3622741699.218750,5.596172933632e+00,1.471627836680e+00
3622924804.687500,5.637120308209e+00,1.460372497649e+00
3623107910.156250,5.645522620720e+00,1.436379390873e+00
3623291015.625000,5.631335334412e+00,1.384446394065e+00
3623474121.093750,5.617261830413e+00,1.360196116092e+00
3623657226.562500,5.603303007713e+00,1.296962515137e+00
3623840332.031250,5.589459767261e+00,1.267053534895e+00
3624023437.500000,5.585667959225e+00,1.240164962000e+00
3624206542.968750,5.649626366803e+00,1.259551864949e+00
3624389648.437500,5.713614724050e+00,1.305240717894e+00
3624572753.906250,5.777631917260e+00,1.347361710019e+00
3624755859.375000,5.841676880803e+00,1.383414896362e+00
3624938964.843750,5.905748594569e+00,1.426596266234e+00
3625122070.312500,5.848985975305e+00,1.354076100766e+00
3625305175.781250,5.731875555396e+00,1.303095665927e+00
3625488281.250000,5.614862075171e+00,1.252156702197e+00
3625671386.718750,5.497949537458e+00,1.185458563643e+00
3625854492.187500,5.381142284254e+00,1.185295672304e+00
3626037597.656250,5.323752217018e+00,1.157532269552e+00
3626220703.125000,5.496010716426e+00,1.172082246978e+00
3626403808.593750,5.668392631872e+00,1.197659264738e+00
3626586914.062500,5.840892245960e+00,1.289335783745e+00
3626770019.531250,6.013504476427e+00,1.354518580163e+00
3626953125.000000,6.186224788512e+00,1.439582297202e+00
3627136230.468750,6.193347761860e+00,1.449233945606e+00
3627319335.937500,6.143520135876e+00,1.397965317921e+00
3627502441.406250,6.093753040598e+00,1.349686939906e+00
3627685546.875000,6.044047728742e+00,1.312559134668e+00
3627868652.343750,5.994405492600e+00,1.284293932269e+00
3628051757.812500,5.990958774209e+00,1.286241755410e+00
3628234863.281250,6.104618559559e+00,1.378613918000e+00
3628417968.750000,6.218300072508e+00,1.429124695330e+00
3628601074.218750,6.332002115274e+00,1.489433733523e+00
3628784179.687500,6.445723571754e+00,1.598075850815e+00
3628967285.156250,6.559463400482e+00,1.670018211244e+00
3629150390.625000,6.501344745780e+00,1.593684846125e+00
3629333496.093750,6.405845648249e+00,1.519160206278e+00
3629516601.562500,6.310353857513e+00,1.425274289437e+00
3629699707.031250,6.214869413636e+00,1.351093781492e+00
3629882812.500000,6.119392357811e+00,1.250404499310e+00
3630065917.968750,6.045559876101e+00,1.240442005316e+00
3630249023.437500,6.010333276732e+00,1.196180959283e+00
3630432128.906250,5.975311507017e+00,1.209891976926e+00
3630615234.375000,5.940498019461e+00,1.202766960569e+00
3630798339.843750,5.905896326157e+00,1.192472268738e+00
3630981445.312500,5.871509999303e+00,1.187767116258e+00
3631164550.781250,5.870746572111e+00,1.132217433302e+00
3631347656.250000,5.874945098291e+00,1.044158164941e+00
3631530761.718750,5.880388421215e+00,9.402413052128e-01
3631713867.187500,5.887073108612e+00,8.342855301133e-01
3631896972.656250,5.894994958117e+00,7.848812737435e-01
3632080078.125000,5.887973835994e+00,7.372723208839e-01
3632263183.593750,5.860974679379e+00,7.592345055886e-01
3632446289.062500,5.834660499644e+00,7.889206573483e-01
3632629394.531250,5.809040524902e+00,8.188459770824e-01
3632812500.000000,5.784123899005e+00,8.820887763519e-01
3632995605.468750,5.759919668583e+00,9.043636306020e-01
3633178710.937500,5.846733198924e+00,9.092104963767e-01
3633361816.406250,5.936322279858e+00,8.789802243991e-01
3633544921.875000,6.025965040551e+00,9.149322187957e-01
3633728027.343750,6.115659926454e+00,9.566158262544e-01
3633911132.812500,6.205405470584e+00,9.631405472317e-01
3634094238.281250,6.179161501266e+00,9.255727952715e-01
3634277343.750000,6.043524827147e+00,8.681060065115e-01
3634460449.218750,5.907915727702e+00,7.928068634865e-01
3634643554.687500,5.772334551631e+00,7.556324863120e-01
3634826660.156250,5.636781674953e+00,7.830574504192e-01
3635009765.625000,5.513960475307e+00,7.778366852482e-01
3635192871.093750,5.616671618925e+00,7.309602345189e-01
3635375976.562500,5.719458459547e+00,6.776356579267e-01
3635559082.031250,5.822318311600e+00,6.749617035424e-01
3635742187.500000,5.925248671474e+00,6.495441181913e-01
3635925292.968750,6.028247202303e+00,6.634234058513e-01
3636108398.437500,6.076110959585e+00,6.781661760349e-01
3636291503.906250,6.086108899135e+00,7.015704349687e-01
3636474609.375000,6.096312819557e+00,7.263589629976e-01
3636657714.843750,6.106721649381e+00,7.269998740178e-01
3636840820.312500,6.117334303763e+00,7.486447878343e-01
3637023925.781250,6.128485928071e+00,7.590241138926e-01
3637207031.250000,6.142046241448e+00,7.468965229416e-01
3637390136.718750,6.155754141393e+00,6.976922651073e-01
3637573242.187500,6.169608658286e+00,7.291159869315e-01
3637756347.656250,6.183608820719e+00,6.405667005193e-01
3637939453.125000,6.197753655752e+00,4.580542210267e-01
3638122558.593750,6.195937763993e+00,6.238012369047e-01
3638305664.062500,6.186506683744e+00,6.050709220081e-01
3638488769.531250,6.177457052300e+00,6.605694868720e-01
3638671875.000000,6.168790546793e+00,6.822252765771e-01
3638854980.468750,6.160508782522e+00,7.213058074123e-01
3639038085.937500,6.173646533644e+00,7.669198745196e-01
3639221191.406250,6.267204107343e+00,7.178841895864e-01
3639404296.875000,6.361048760768e+00,6.866332953424e-01
3639587402.343750,6.455169611265e+00,6.704916337325e-01
3639770507.812500,6.549556364801e+00,7.059673809598e-01
3639953613.281250,6.644199278466e+00,7.195860135799e-01
3640136718.750000,6.605757226587e+00,6.466055107038e-01
3640319824.218750,6.522234058119e+00,6.305482131944e-01
3640502929.687500,6.438859018781e+00,5.820388438915e-01
