subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_plan_c_equalized_i,after_float_plan_c_equalized_q
3015,22403,4102111816.406250,1.171275991314e+02,3.904253304380e+01,1.156415935042e+02,4.854069111958e+01,1.169393654431e+02,3.814337943370e+01
3016,22404,4102294921.875000,-2.732977313066e+02,-2.732977313066e+02,-2.562783166748e+02,-2.973611529895e+02,-2.751567571942e+02,-2.715167560450e+02
3017,22405,4102478027.343750,3.904253304380e+01,-2.732977313066e+02,5.964127689494e+01,-2.739419855215e+02,3.644841252230e+01,-2.737362749226e+02
3018,22406,4102661132.812500,-1.171275991314e+02,1.171275991314e+02,-1.270530867084e+02,1.102086843711e+02,-1.160176165192e+02,1.186295174673e+02
3019,22407,4102844238.281250,1.952126652190e+02,-2.732977313066e+02,2.169193645486e+02,-2.630777977193e+02,1.925941484140e+02,-2.754016434512e+02
3020,22408,4103027343.750000,1.952126652190e+02,2.732977313066e+02,1.788752978895e+02,2.902511556823e+02,1.983969520354e+02,2.710610647865e+02
3021,22409,4103210449.218750,-1.952126652190e+02,3.904253304380e+01,-2.004431350928e+02,2.605789664182e+01,-1.949528312811e+02,4.139739506502e+01
3022,22410,4103393554.687500,2.732977313066e+02,-3.904253304380e+01,2.795947548128e+02,-2.061704473108e+01,2.731856945983e+02,-4.195703632486e+01
3023,22411,4103576660.156250,-2.732977313066e+02,-1.952126652190e+02,-2.633715845536e+02,-2.168007598100e+02,-2.755767804855e+02,-1.926708308132e+02
3024,22412,4103759765.625000,3.904253304380e+01,1.952126652190e+02,2.596835450306e+01,2.005643418397e+02,4.131770315387e+01,1.952063259588e+02
3025,22413,4103942871.093750,3.904253304380e+01,-3.904253304380e+01,4.230286496444e+01,-3.684807026009e+01,3.878958622454e+01,-3.946392917808e+01
3026,22414,4104125976.562500,-1.952126652190e+02,1.171275991314e+02,-2.059631663032e+02,1.051116337357e+02,-1.949021376510e+02,1.192240269013e+02
3027,22415,4104309082.031250,1.952126652190e+02,-2.732977313066e+02,2.165790787442e+02,-2.633213570426e+02,1.926983248714e+02,-2.752759980078e+02
3028,22416,4104492187.500000,-3.904253304380e+01,-3.904253304380e+01,-3.684688358059e+01,-4.219657603203e+01,-3.914036661744e+01,-3.860285175420e+01
3029,22417,4104675292.968750,3.904253304380e+01,-3.904253304380e+01,4.215543695527e+01,-3.684646427592e+01,3.877055894949e+01,-3.960359721056e+01
3030,22418,4104858398.437500,1.171275991314e+02,-3.904253304380e+01,1.210746299056e+02,-3.157772025288e+01,1.169898503812e+02,-4.031929169732e+01
3031,22419,4105041503.906250,1.952126652190e+02,3.904253304380e+01,1.946903960009e+02,5.258854873960e+01,1.957574536550e+02,3.716375597591e+01
3032,22420,4105224609.375000,-2.732977313066e+02,-1.171275991314e+02,-2.682479551861e+02,-1.369575311747e+02,-2.746769219180e+02,-1.150890482735e+02
3033,22421,4105407714.843750,-1.952126652190e+02,-1.952126652190e+02,-1.838528856456e+02,-2.106911920628e+02,-1.966682840396e+02,-1.938740893766e+02
3034,22422,4105590820.312500,-2.732977313066e+02,3.904253304380e+01,-2.788634049620e+02,2.045767732310e+01,-2.731951692321e+02,4.094684746514e+01
3035,22423,4105773925.781250,-2.732977313066e+02,-2.732977313066e+02,-2.569215600259e+02,-2.953172720319e+02,-2.750011714447e+02,-2.721391553319e+02
3036,22424,4105957031.250000,-2.732977313066e+02,1.171275991314e+02,-2.844041775829e+02,9.892030527593e+01,-2.732956345704e+02,1.187675909665e+02
3037,22425,4106140136.718750,-3.904253304380e+01,-1.171275991314e+02,-3.108093433490e+01,-1.211330204172e+02,-3.962176548304e+01,-1.172091652239e+02
3038,22426,4106323242.187500,1.171275991314e+02,1.952126652190e+02,1.043627023776e+02,2.056983234854e+02,1.179894244775e+02,1.954847705487e+02
3039,22427,4106506347.656250,-3.904253304380e+01,1.952126652190e+02,-5.354733405047e+01,1.945264747897e+02,-3.889886338717e+01,1.963243186461e+02
3040,22428,4106689453.125000,2.732977313066e+02,-2.732977313066e+02,2.961548335492e+02,-2.565465310441e+02,2.743750378570e+02,-2.744156560326e+02
3041,22429,4106872558.593750,1.171275991314e+02,1.171275991314e+02,1.099389719346e+02,1.269943258567e+02,1.174076602740e+02,1.172705748448e+02
3042,22430,4107055664.062500,-3.904253304380e+01,2.732977313066e+02,-5.937961013532e+01,2.736349454749e+02,-3.921573637597e+01,2.741828108744e+02
3043,22431,4107238769.531250,1.171275991314e+02,-1.952126652190e+02,1.325083593828e+02,-1.890819992984e+02,1.174645887130e+02,-1.962275776887e+02
3044,22432,4107421875.000000,1.952126652190e+02,-3.904253304380e+01,2.002634904587e+02,-2.567371923835e+01,1.962036254447e+02,-3.923026150283e+01
3045,22433,4107604980.468750,-1.171275991314e+02,-1.952126652190e+02,-1.048657917651e+02,-2.056886482789e+02,-1.184428883947e+02,-1.958383747938e+02
3046,22434,4107788085.937500,2.732977313066e+02,-1.952126652190e+02,2.899684913105e+02,-1.786839674721e+02,2.738248517178e+02,-1.975101996978e+02
3047,22435,4107971191.406250,2.732977313066e+02,-3.904253304380e+01,2.791813853141e+02,-2.093807264869e+01,2.747469115068e+02,-4.027126476486e+01
3048,22436,4108154296.875000,-1.952126652190e+02,2.732977313066e+02,-2.160389577000e+02,2.632787469990e+02,-1.954717723711e+02,2.757925905597e+02
3049,22437,4108337402.343750,2.732977313066e+02,-3.904253304380e+01,2.791415686310e+02,-2.096473919332e+01,2.748713704982e+02,-4.059945218590e+01
3050,22438,4108520507.812500,1.952126652190e+02,2.732977313066e+02,1.789416200071e+02,2.897164016453e+02,1.975321846461e+02,2.742256145170e+02
3051,22439,4108703613.281250,-2.732977313066e+02,1.171275991314e+02,-2.844016082175e+02,9.993525069381e+01,-2.750626884652e+02,1.185074345954e+02
3052,22440,4108886718.750000,2.732977313066e+02,1.952126652190e+02,2.631836077516e+02,2.160029094695e+02,2.758103179278e+02,1.957801714391e+02
3053,22441,4109069824.218750,2.732977313066e+02,1.171275991314e+02,2.685555121421e+02,1.368343314878e+02,2.751762199259e+02,1.172748636747e+02
3054,22442,4109252929.687500,1.952126652190e+02,-1.952126652190e+02,2.102237078522e+02,-1.846899544729e+02,1.956812512863e+02,-1.970193738707e+02
3055,22443,4109436035.156250,-1.171275991314e+02,-1.171275991314e+02,-1.110300926087e+02,-1.259284911719e+02,-1.186080907590e+02,-1.174830266044e+02
3056,22444,4109619140.625000,3.904253304380e+01,-2.732977313066e+02,5.638401914575e+01,-2.740501629455e+02,3.764700508811e+01,-2.749946057891e+02
3057,22445,4109802246.093750,1.952126652190e+02,3.904253304380e+01,1.951384651577e+02,5.120845665833e+01,1.970436519595e+02,3.748821791383e+01
3058,22446,4109985351.562500,-1.952126652190e+02,-3.904253304380e+01,-1.952155457055e+02,-5.085829962597e+01,-1.972582129829e+02,-3.738562740014e+01
