freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
3575000000.000000,1.000000000000e+00,1.000000000000e+00,-1.253625706519e-14,-2.859968280998,-2.860321095653,-3.528146555549e-04,4.161100181,5.740978850,5.740788629,9.902079031,9.901888810
3576000000.000000,1.000000000000e+00,1.000000000000e+00,-8.678947198980e-15,-2.896029738752,-2.896381386530,-3.516477779280e-04,3.879233424,5.737791745,5.737610570,9.617025169,9.616843994
3577000000.000000,1.000000000000e+00,1.000000000000e+00,1.542923946485e-14,-2.932071498569,-2.932422036523,-3.505379539992e-04,3.607559941,5.734714011,5.734541944,9.342273952,9.342101885
3578000000.000000,1.000000000000e+00,1.000000000000e+00,-1.928654933107e-15,-2.968094280384,-2.968443765900,-3.494855160913e-04,3.753095092,5.731755705,5.731592791,9.484850797,9.484687883
3579000000.000000,1.000000000000e+00,1.000000000000e+00,2.121520426417e-14,-3.004098865032,-3.004447355748,-3.484907163132e-04,4.230015550,5.728926155,5.728772429,9.958941705,9.958787979
3580000000.000000,1.000000000000e+00,1.000000000000e+00,5.785964799320e-15,-3.040086089676,-3.040433643404,-3.475537282891e-04,4.273896913,5.726233964,5.726089446,10.000130877,9.999986359
3581000000.000000,1.000000000000e+00,1.000000000000e+00,-2.892982399660e-15,-3.076056843250,-3.076403517899,-3.466746489154e-04,3.778908891,5.723687009,5.723551709,9.502595900,9.502460600
3582000000.000000,1.000000000000e+00,1.000000000000e+00,-4.628771839456e-14,-3.112012061910,-3.112357915410,-3.458535001455e-04,4.416888769,5.721292444,5.721166360,10.138181213,10.138055129
3583000000.000000,1.000000000000e+00,1.000000000000e+00,4.243040852834e-14,-3.147952724500,-3.148297814731,-3.450902307987e-04,3.829699641,5.719056707,5.718939825,9.548756348,9.548639466
3584000000.000000,1.000000000000e+00,1.000000000000e+00,-1.542923946485e-14,-3.183879848060,-3.184224232778,-3.443847183839e-04,3.691988755,5.716985522,5.716877817,9.408974277,9.408866572
3585000000.000000,1.000000000000e+00,1.000000000000e+00,-1.928654933107e-14,-3.219794483360,-3.220138220131,-3.437367709096e-04,4.628746133,5.715083904,5.714985340,10.343830037,10.343731473
