tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
113,1.090987218754962e-02,1.393110481850927e-01,357,4565,1.089477539062500e-02,1.393127441406250e-01,1.397381007843008e-01,-1.509679692462268e-05,1.695955532260429e-06
114,-7.747491062156156e-02,-2.054813261055569e-01,-2539,-6733,-7.748413085937500e-02,-2.054748535156250e-01,2.195989662140974e-01,-9.220237813439836e-06,6.472589931860728e-06
115,3.005606167941179e-01,1.424556868895313e-01,9849,4668,3.005676269531250e-01,1.424560546875000e-01,3.326178375994903e-01,7.010159007059258e-06,3.677979687477517e-07
116,-3.790510374306256e-01,1.944080647415360e-01,-12421,6370,-3.790588378906250e-01,1.943969726562500e-01,4.259997483108481e-01,-7.800459999374176e-06,-1.109208528601857e-05
117,6.270105858686495e-02,-4.777992280891012e-01,2055,-15657,6.271362304687500e-02,-4.778137207031250e-01,4.819117659985378e-01,1.256446001005052e-05,-1.449261402375335e-05
118,3.713004708531185e-01,3.233765602227027e-01,12167,10596,3.713073730468750e-01,3.233642578125000e-01,4.923754751301085e-01,6.902193756486152e-06,-1.230241020272471e-05
119,-4.391836468327970e-01,1.219296068351420e-01,-14391,3995,-4.391784667968750e-01,1.219177246093750e-01,4.557868550890660e-01,5.180035922036641e-06,-1.188222576697928e-05
120,1.203965715204608e-01,-3.562798900992290e-01,3945,-11675,1.203918457031250e-01,-3.562927246093750e-01,3.760833712375183e-01,-4.725817335848870e-06,-1.283451014599812e-05
121,1.481601831267695e-01,2.169107693294599e-01,4855,7108,1.481628417968750e-01,2.169189453125000e-01,2.626900388762641e-01,2.658670105515348e-06,8.175983040065171e-06
122,-1.298374249979180e-01,-3.526166346682401e-02,-4255,-1155,-1.298522949218750e-01,-3.524780273437500e-02,1.345512024995653e-01,-1.486992395696718e-05,1.386073244900865e-05
123,6.782786519509482e-02,5.533905865306829e-02,2223,1813,6.784057617187500e-02,5.532836914062500e-02,8.754183118425864e-02,1.271097678018362e-05,-1.068951244329042e-05
124,-1.890746185077917e-01,-6.989815528058116e-02,-6196,-2290,-1.890869140625000e-01,-6.988525390625000e-02,2.015882183641204e-01,-1.229555470833033e-05,1.290137433115901e-05
