tap,coeff_real,coeff_imag,coeff_abs,coeff_phase_rad
226,6.036368962377183e-02,-6.606307045103926e-02,8.948801205979512e-02,-8.304481565114697e-01
227,-1.442008103408239e-01,2.554728073013278e-01,2.933602375465558e-01,2.084663436864898e+00
228,-1.938677504254702e-01,-4.560242583894862e-01,4.955227834264669e-01,-1.972773658269206e+00
229,6.231512321571683e-01,1.134859880592761e-01,6.334007638334416e-01,1.801420495593190e-01
230,-4.602020031131723e-01,4.989312986452625e-01,6.787623475394200e-01,2.315836943816025e+00
231,-1.585453379605055e-01,-5.971257095874309e-01,6.178152937887698e-01,-1.830322429015654e+00
232,4.290192983857087e-01,1.478630503860888e-01,4.537852356091423e-01,3.319039723507474e-01
233,-1.861182736817938e-01,1.008313676246246e-01,2.116765846647741e-01,2.645098025739509e+00
234,1.049905857588131e-01,7.029595813806458e-02,1.263508798090746e-01,5.899928888841384e-01
235,-4.043879137130416e-01,-8.088523246866736e-03,4.044687985067593e-01,-3.121593428692893e+00
236,3.804737019577190e-01,-5.191870021983971e-01,6.436733497148764e-01,-9.383775251572504e-01
237,2.826774013274089e-01,7.268535043451564e-01,7.798862288821693e-01,1.199890518532338e+00
238,-7.616955285817709e-01,-1.450228017473178e-01,7.753784181211811e-01,-2.953449774095242e+00
239,4.240875502015859e-01,-4.474092692261709e-01,6.164619245545331e-01,-8.121523107429999e-01
240,5.164034330831502e-02,3.170446920730418e-01,3.212227604462213e-01,1.409333901635473e+00
241,8.805267111074003e-02,-6.095201774372741e-02,1.070907155488645e-01,-6.054868994464019e-01
242,-2.490254589456991e-01,4.223340664472254e-01,4.902853688261209e-01,2.103564055182478e+00
243,-3.474442774090736e-01,-7.385609018281275e-01,8.162044667933950e-01,-2.010512761103044e+00
244,9.646029070746567e-01,1.155663520970983e-01,9.715010808403196e-01,1.192388368133851e-01
245,-5.529275840981622e-01,6.910608107196363e-01,8.850389581081227e-01,2.245606913735132e+00
246,-1.627105005044116e-01,-5.118365449180520e-01,5.370766757996899e-01,-1.878589029983415e+00
247,-3.367233464065654e-02,6.316345008390090e-02,7.157826169064040e-02,2.060570734333178e+00
248,3.389375489329894e-01,-5.690710434898116e-01,6.623598075180028e-01,-1.033619912359096e+00
249,5.053449472154745e-01,1.032539406222191e+00,1.149569980939780e+00,1.115648867031757e+00
250,-1.237628041894441e+00,-1.179862251417791e-01,1.243239284854960e+00,-3.046547351994937e+00
251,4.587834806279826e-01,-5.877641049597402e-01,7.456198261689740e-01,-9.080237200646819e-01
252,-1.958460938288059e-01,-2.806600529092196e-01,3.422364062559789e-01,-2.180047870255955e+00
253,1.553060136558469e+00,7.405858343896998e-02,1.554824897391342e+00,4.764949138014601e-02
254,-9.459192368292643e-01,1.401191596828804e+00,1.690591935869596e+00,2.164602330073532e+00
255,7.788220128306118e-01,1.476294332936947e+00,1.669134112386201e+00,1.085350846972339e+00
