freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
3687000000.000000,1.930508685631,-39.540640874408,-6.894257080823,-46.434897955231,4.356584977,5.600251262,9.956836239,9.813229332
3688000000.000000,1.931032284407,-39.567353850593,-6.929421343952,-46.496775194545,4.230578373,5.592866956,9.823445329,9.813229332
3689000000.000000,1.931555883182,-39.593803890157,-6.964539119786,-46.558343009943,3.774505300,5.585458262,9.359963562,9.813229332
3690000000.000000,1.932079481958,-39.614785683084,-6.999610282517,-46.614395965601,3.574331032,5.578033888,9.152364920,9.813229332
3691000000.000000,1.932603080733,-39.638720258607,-7.034634760921,-46.673355019528,4.202742463,5.570602494,9.773344957,9.813229332
3692000000.000000,1.933126679509,-39.667598902474,-7.069612538005,-46.737211440479,5.100047047,5.563172675,10.663219722,9.813229332
3693000000.000000,1.933650278285,-39.702809339950,-7.104543650552,-46.807352990502,4.301587633,5.555752947,9.857340580,9.813229332
3694000000.000000,1.934173877060,-39.721654246901,-7.139428188578,-46.861082435479,4.160565772,5.548351731,9.708917503,9.813229332
3695000000.000000,1.934697475836,-39.755092551412,-7.174266294708,-46.929358846120,4.585162833,5.540977345,10.126140178,9.813229332
3696000000.000000,1.935221074611,-39.779273102386,-7.209058163459,-46.988331265845,4.063581395,5.533637983,9.597219378,9.813229332
3697000000.000000,1.935744673387,-39.806157021239,-7.243804040454,-47.049961061693,3.909117370,5.526341712,9.435459082,9.813229332
3698000000.000000,1.936268272163,-39.828396520032,-7.278504221554,-47.106900741586,4.507314511,5.519096451,10.026410962,9.813229332
3699000000.000000,1.936791870938,-39.862797605856,-7.313159051920,-47.175956657776,4.906841851,5.511909968,10.418751819,9.813229332
3700000000.000000,1.937315469714,-39.890057713275,-7.347768925011,-47.237826638286,4.129507122,5.504789865,9.634296987,9.813229332
3701000000.000000,1.937839068489,-39.914690522800,-7.382334281512,-47.297024804312,3.744344750,5.497743566,9.242088316,9.813229332
3702000000.000000,1.938362667265,-39.937110537113,-7.416855608205,-47.353966145318,3.976734278,5.490778315,9.467512593,9.813229332
3703000000.000000,1.938886266041,-39.964663639569,-7.451333436784,-47.415997076353,4.115923529,5.483901162,9.599824691,9.813229332
3704000000.000000,1.939409864816,-39.988832757597,-7.485768342617,-47.474601100214,4.603508094,5.477118954,10.080627048,9.813229332
3705000000.000000,1.939933463592,-40.022513028405,-7.520160943458,-47.542673971863,4.421889180,5.470438331,9.892327511,9.813229332
3706000000.000000,1.940457062367,-40.044399855843,-7.554511898111,-47.598911753954,3.837811206,5.463865718,9.301676924,9.813229332
3707000000.000000,1.940980661143,-40.070740386365,-7.588821905060,-47.659562291425,4.146005861,5.457407317,9.603413178,9.813229332
3708000000.000000,1.941504259918,-40.096500102065,-7.623091701055,-47.719591803120,4.337642353,5.451069104,9.788711457,9.813229332
3709000000.000000,1.942027858694,-40.125248807771,-7.657322059662,-47.782570867433,4.704408171,5.444856819,10.149264990,9.813229332
3710000000.000000,1.942551457470,-40.155617438667,-7.691513789784,-47.847131228451,4.424095444,5.438775968,9.862871412,9.813229332
3711000000.000000,1.943075056245,-40.180843630759,-7.725667734158,-47.906511364917,3.926122469,5.432831812,9.358954281,9.813229332
3712000000.000000,1.943598655021,-40.204954548686,-7.759784767815,-47.964739316501,4.305546221,5.427029368,9.732575589,9.813229332
