subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
882,20270,3711547851.562500,2.732977313066e+02,1.171275991314e+02,2.702149393187e+02,1.260676542109e+02,2.740935465038e+02,1.046828733416e+02,1.000000000000e+00,-1.461178011552
883,20271,3711730957.031250,3.904253304380e+01,-2.732977313066e+02,4.787344651343e+01,-2.726189356991e+02,4.083351374745e+01,-2.846686939917e+02,1.000000000000e+00,-1.467424091157
884,20272,3711914062.500000,3.904253304380e+01,-2.732977313066e+02,4.794498291962e+01,-2.725460960141e+02,4.109649571737e+01,-2.845632391542e+02,1.000000000000e+00,-1.473668955254
885,20273,3712097167.968750,2.732977313066e+02,2.732977313066e+02,2.650996598937e+02,2.826132038284e+02,2.739158590132e+02,2.607949950905e+02,1.000000000000e+00,-1.479912609462
886,20274,3712280273.437500,3.904253304380e+01,2.732977313066e+02,3.059495731085e+01,2.752240450120e+02,4.058217698715e+01,2.605653901436e+02,1.000000000000e+00,-1.486155059437
887,20275,3712463378.906250,1.171275991314e+02,1.171275991314e+02,1.139183693231e+02,1.210666174255e+02,1.188707259604e+02,1.048939618387e+02,1.000000000000e+00,-1.492396310863
888,20276,3712646484.375000,-3.904253304380e+01,-1.952126652190e+02,-3.337739016523e+01,-1.970867530513e+02,-3.678609168315e+01,-2.070239715000e+02,1.000000000000e+00,-1.498636369460
889,20277,3712829589.843750,-1.952126652190e+02,3.904253304380e+01,-1.971611823567e+02,3.354762839281e+01,-1.927900172419e+02,2.699496829122e+01,1.000000000000e+00,-1.504875240978
890,20278,3713012695.312500,1.952126652190e+02,-2.732977313066e+02,2.038509626031e+02,-2.690519022842e+02,1.973267072508e+02,-2.853047685589e+02,1.000000000000e+00,-1.511112931198
891,20279,3713195800.781250,-3.904253304380e+01,3.904253304380e+01,-4.032080085723e+01,3.810718257447e+01,-3.657063111551e+01,2.703122871172e+01,1.000000000000e+00,-1.517349445935
892,20280,3713378906.250000,1.171275991314e+02,-2.732977313066e+02,1.253774598002e+02,-2.710951356260e+02,1.196351046476e+02,-2.849617900131e+02,1.000000000000e+00,-1.523584791033
893,20281,3713562011.718750,-2.732977313066e+02,-3.904253304380e+01,-2.732375782492e+02,-4.697958091136e+01,-2.703014958729e+02,-5.112233187818e+01,1.000000000000e+00,-1.529818972367
894,20282,3713745117.187500,-1.952126652190e+02,2.732977313066e+02,-2.037177001445e+02,2.687001483950e+02,-1.925035153631e+02,2.607675100247e+02,1.000000000000e+00,-1.536051995842
895,20283,3713928222.656250,-3.904253304380e+01,-1.952126652190e+02,-3.358191303530e+01,-1.969766393358e+02,-3.584239983298e+01,-2.067996776343e+02,1.000000000000e+00,-1.542283867393
896,20284,3714111328.125000,2.732977313066e+02,3.904253304380e+01,2.731276740738e+02,4.669755797653e+01,2.757000244775e+02,2.735924788949e+01,1.000000000000e+00,-1.548514592986
897,20285,3714294433.593750,-1.952126652190e+02,3.904253304380e+01,-1.968961706837e+02,3.416468341934e+01,-1.918450364013e+02,2.730689446975e+01,1.000000000000e+00,-1.554744178614
898,20286,3714477539.062500,-2.732977313066e+02,2.732977313066e+02,-2.808110554924e+02,2.677844718991e+02,-2.691698685561e+02,2.617038578584e+02,1.000000000000e+00,-1.560972630302
899,20287,3714660644.531250,-2.732977313066e+02,1.171275991314e+02,-2.769182681832e+02,1.115691125232e+02,-2.692737372262e+02,1.062315776581e+02,1.000000000000e+00,-1.567199954101
900,20288,3714843750.000000,2.732977313066e+02,3.904253304380e+01,2.736033952988e+02,4.469870366769e+01,2.764468081391e+02,2.587610568404e+01,1.000000000000e+00,-1.573426156092
901,20289,3715026855.468750,-1.171275991314e+02,1.171275991314e+02,-1.198004204589e+02,1.154391323025e+02,-1.128600717824e+02,1.060726423789e+02,1.000000000000e+00,-1.579651242382
902,20290,3715209960.937500,-2.732977313066e+02,1.952126652190e+02,-2.783098280427e+02,1.908991811465e+02,-2.685655014189e+02,1.849599543393e+02,1.000000000000e+00,-1.585875219109
903,20291,3715393066.406250,3.904253304380e+01,1.171275991314e+02,3.694426261078e+01,1.184979106571e+02,4.316110439484e+01,1.053385365885e+02,1.000000000000e+00,-1.592098092435
904,20292,3715576171.875000,-1.952126652190e+02,-1.171275991314e+02,-1.939529049999e+02,-1.217189625947e+02,-1.920497467260e+02,-1.279799081272e+02,1.000000000000e+00,-1.598319868550
905,20293,3715759277.343750,-1.952126652190e+02,-1.952126652190e+02,-1.923738285896e+02,-2.004360094381e+02,-1.921825711240e+02,-2.063135449437e+02,1.000000000000e+00,-1.604540553673
906,20294,3715942382.812500,3.904253304380e+01,-3.904253304380e+01,4.012566647663e+01,-3.847346833503e+01,4.286963863343e+01,-5.064902597058e+01,1.000000000000e+00,-1.610760154045
907,20295,3716125488.281250,1.171275991314e+02,3.904253304380e+01,1.170303902440e+02,4.181148437980e+01,1.212565194737e+02,2.749239967652e+01,1.000000000000e+00,-1.616978675937
908,20296,3716308593.750000,-3.904253304380e+01,3.904253304380e+01,-4.012030174567e+01,3.841602712469e+01,-3.499666181209e+01,2.769823967511e+01,1.000000000000e+00,-1.623196125644
909,20297,3716491699.218750,-2.732977313066e+02,-2.732977313066e+02,-2.686754811368e+02,-2.807694487013e+02,-2.691655385758e+02,-2.846351876146e+02,1.000000000000e+00,-1.629412509485
910,20298,3716674804.687500,-1.171275991314e+02,1.171275991314e+02,-1.202985909637e+02,1.150452379139e+02,-1.129156244816e+02,1.056757905137e+02,1.000000000000e+00,-1.635627833807
911,20299,3716857910.156250,-2.732977313066e+02,-1.171275991314e+02,-2.717514094317e+02,-1.238163844763e+02,-2.685215613081e+02,-1.286195895256e+02,1.000000000000e+00,-1.641842104980
912,20300,3717041015.625000,1.171275991314e+02,1.171275991314e+02,1.148898802813e+02,1.202227092101e+02,1.211407191262e+02,1.059288764633e+02,1.000000000000e+00,-1.648055329397
913,20301,3717224121.093750,-1.952126652190e+02,-3.904253304380e+01,-1.950872682459e+02,-4.346495260252e+01,-1.903842243692e+02,-5.040124145555e+01,1.000000000000e+00,-1.654267513478
914,20302,3717407226.562500,1.171275991314e+02,-2.732977313066e+02,1.233270736361e+02,-2.718756728388e+02,1.217405399585e+02,-2.839454750788e+02,1.000000000000e+00,-1.660478663663
915,20303,3717590332.031250,2.732977313066e+02,-1.171275991314e+02,2.767269319583e+02,-1.120661117228e+02,2.776153595124e+02,-1.279768759588e+02,1.000000000000e+00,-1.666688786420
916,20304,3717773437.500000,-3.904253304380e+01,-2.732977313066e+02,-3.391463014415e+01,-2.751379889146e+02,-3.430216128073e+01,-2.839641011582e+02,1.000000000000e+00,-1.672897888235
917,20305,3717956542.968750,1.171275991314e+02,-2.732977313066e+02,1.226500328492e+02,-2.722406542356e+02,1.216225837166e+02,-2.840250917143e+02,1.000000000000e+00,-1.679105975621
918,20306,3718139648.437500,-1.171275991314e+02,-1.952126652190e+02,-1.140526482057e+02,-1.980973121014e+02,-1.121790077946e+02,-2.057959361422e+02,1.000000000000e+00,-1.685313055109
919,20307,3718322753.906250,2.732977313066e+02,3.904253304380e+01,2.736158553334e+02,4.407525223037e+01,2.778925309123e+02,2.793877961467e+01,1.000000000000e+00,-1.691519133257
920,20308,3718505859.375000,-1.952126652190e+02,-1.952126652190e+02,-1.924515683940e+02,-1.993487034669e+02,-1.898445804785e+02,-2.056247060830e+02,1.000000000000e+00,-1.697724216639
921,20309,3718688964.843750,3.904253304380e+01,2.732977313066e+02,3.440384819204e+01,2.748875490268e+02,4.420925543296e+01,2.619532999447e+02,1.000000000000e+00,-1.703928311856
922,20310,3718872070.312500,-1.952126652190e+02,-3.904253304380e+01,-1.951505093058e+02,-4.252821664493e+01,-1.895232594366e+02,-4.967982811826e+01,1.000000000000e+00,-1.710131425526
923,20311,3719055175.781250,2.732977313066e+02,1.952126652190e+02,2.707874972969e+02,2.004648588024e+02,2.779851767696e+02,1.841110836458e+02,1.000000000000e+00,-1.716333564288
924,20312,3719238281.250000,-3.904253304380e+01,1.171275991314e+02,-4.115815727038e+01,1.168213505036e+02,-3.357981617890e+01,1.062100609613e+02,1.000000000000e+00,-1.722534734804
925,20313,3719421386.718750,3.904253304380e+01,-1.952126652190e+02,4.248541447860e+01,-1.951582703192e+02,4.463146385481e+01,-2.053309359419e+02,1.000000000000e+00,-1.728734943753
926,20314,3719604492.187500,-1.952126652190e+02,2.732977313066e+02,-2.004752346472e+02,2.708520816221e+02,-1.895186621240e+02,2.619551428533e+02,1.000000000000e+00,-1.734934197834
927,20315,3719787597.656250,1.171275991314e+02,-3.904253304380e+01,1.181690747613e+02,-3.718325921750e+01,1.226195914064e+02,-4.925514562874e+01,1.000000000000e+00,-1.741132503768
