freq_hz,stage,equalized_real,equalized_imag,residual_real,residual_imag,residual_abs_percent
4191000000.000000,after_l1_08_fixed_fir,1.008709022859e+00,-4.596424165116e-02,8.709022858589e-03,-4.596424165116e-02,4.678203277
4192000000.000000,after_l1_08_fixed_fir,1.007973631329e+00,-4.060664297665e-02,7.973631328814e-03,-4.060664297665e-02,4.138210060
4193000000.000000,after_l1_08_fixed_fir,1.006288690171e+00,-4.305386154076e-02,6.288690170996e-03,-4.305386154076e-02,4.351071842
4194000000.000000,after_l1_08_fixed_fir,1.009447209298e+00,-4.133122393192e-02,9.447209298435e-03,-4.133122393192e-02,4.239716777
4195000000.000000,after_l1_08_fixed_fir,1.006036586683e+00,-4.734031780703e-02,6.036586683440e-03,-4.734031780703e-02,4.772364266
4196000000.000000,after_l1_08_fixed_fir,1.009765212853e+00,-4.068480171527e-02,9.765212852731e-03,-4.068480171527e-02,4.184032113
4197000000.000000,after_l1_08_fixed_fir,1.010677400587e+00,-4.961547544009e-02,1.067740058715e-02,-4.961547544009e-02,5.075137719
4198000000.000000,after_l1_08_fixed_fir,1.006990725817e+00,-4.166748416353e-02,6.990725817007e-03,-4.166748416353e-02,4.224984596
4199000000.000000,after_l1_08_fixed_fir,1.008904401949e+00,-5.068032566148e-02,8.904401948834e-03,-5.068032566148e-02,5.145662040
4200000000.000000,after_l1_08_fixed_fir,1.007629108628e+00,-4.777430659363e-02,7.629108627568e-03,-4.777430659363e-02,4.837962039
4201000000.000000,after_l1_08_fixed_fir,1.007532486846e+00,-5.307790726805e-02,7.532486846157e-03,-5.307790726805e-02,5.360972485
4202000000.000000,after_l1_08_fixed_fir,1.007542221794e+00,-4.455229356567e-02,7.542221794344e-03,-4.455229356567e-02,4.518619227
4203000000.000000,after_l1_08_fixed_fir,1.009625815408e+00,-4.361845005051e-02,9.625815408481e-03,-4.361845005051e-02,4.466794720
4204000000.000000,after_l1_08_fixed_fir,1.007597545264e+00,-5.082085556444e-02,7.597545264139e-03,-5.082085556444e-02,5.138562109
4205000000.000000,after_l1_08_fixed_fir,1.007995175218e+00,-4.702935762534e-02,7.995175217967e-03,-4.702935762534e-02,4.770412252
4206000000.000000,after_l1_08_fixed_fir,1.007354605605e+00,-4.991078784569e-02,7.354605605486e-03,-4.991078784569e-02,5.044974695
4207000000.000000,after_l1_08_fixed_fir,1.009462530320e+00,-5.263904682795e-02,9.462530320091e-03,-5.263904682795e-02,5.348278911
4208000000.000000,after_l1_08_fixed_fir,1.006094675427e+00,-5.121672693215e-02,6.094675426636e-03,-5.121672693215e-02,5.157807854
4209000000.000000,after_l1_08_fixed_fir,1.007866215254e+00,-5.300413042403e-02,7.866215253765e-03,-5.300413042403e-02,5.358465437
4210000000.000000,after_l1_08_fixed_fir,1.006386787795e+00,-4.820259386853e-02,6.386787795494e-03,-4.820259386853e-02,4.862387391
4211000000.000000,after_l1_08_fixed_fir,1.006954744876e+00,-5.002663752841e-02,6.954744875965e-03,-5.002663752841e-02,5.050775127
4212000000.000000,after_l1_08_fixed_fir,1.006785651739e+00,-5.036265380893e-02,6.785651738580e-03,-5.036265380893e-02,5.081773281
4213000000.000000,after_l1_08_fixed_fir,1.009222237801e+00,-5.153930729705e-02,9.222237800933e-03,-5.153930729705e-02,5.235790166
4214000000.000000,after_l1_08_fixed_fir,1.008238115871e+00,-4.861171117908e-02,8.238115870747e-03,-4.861171117908e-02,4.930481738
4215000000.000000,after_l1_08_fixed_fir,1.009407172823e+00,-4.920906599100e-02,9.407172823108e-03,-4.920906599100e-02,5.010017042
4216000000.000000,after_l1_08_fixed_fir,1.007195099517e+00,-5.195390805966e-02,7.195099516695e-03,-5.195390805966e-02,5.244976663
4217000000.000000,after_l1_08_fixed_fir,1.007800400489e+00,-5.593167111996e-02,7.800400488959e-03,-5.593167111996e-02,5.647298542
4218000000.000000,after_l1_08_fixed_fir,1.007908689166e+00,-5.174464107560e-02,7.908689166240e-03,-5.174464107560e-02,5.234553701
4219000000.000000,after_l1_08_fixed_fir,1.009772417028e+00,-5.605554175443e-02,9.772417028289e-03,-5.605554175443e-02,5.690100083
4220000000.000000,after_l1_08_fixed_fir,1.006593771292e+00,-4.964304078942e-02,6.593771292307e-03,-4.964304078942e-02,5.007903073
4221000000.000000,after_l1_08_fixed_fir,1.007695518458e+00,-5.368557778560e-02,7.695518457757e-03,-5.368557778560e-02,5.423432738
4222000000.000000,after_l1_08_fixed_fir,1.006368279406e+00,-5.443044511287e-02,6.368279405679e-03,-5.443044511287e-02,5.480171838
4223000000.000000,after_l1_08_fixed_fir,1.006304171191e+00,-5.387131123775e-02,6.304171191459e-03,-5.387131123775e-02,5.423892282
4224000000.000000,after_l1_08_fixed_fir,1.007576548454e+00,-5.299796371377e-02,7.576548453981e-03,-5.299796371377e-02,5.353679337
4225000000.000000,after_l1_08_fixed_fir,1.008995483727e+00,-5.607368184236e-02,8.995483727478e-03,-5.607368184236e-02,5.679063763
4226000000.000000,after_l1_08_fixed_fir,1.006832417311e+00,-5.493399093829e-02,6.832417310826e-03,-5.493399093829e-02,5.535725144
4227000000.000000,after_l1_08_fixed_fir,1.008760150679e+00,-5.040889370755e-02,8.760150678578e-03,-5.040889370755e-02,5.116440955
4228000000.000000,after_l1_08_fixed_fir,1.007558393901e+00,-5.227524810900e-02,7.558393900730e-03,-5.227524810900e-02,5.281884970
4229000000.000000,after_l1_08_fixed_fir,1.005868804342e+00,-5.156010499073e-02,5.868804342429e-03,-5.156010499073e-02,5.189303702
